numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07149;20230425090000;101640;210;3;30;4.500000;281.550000;278.650000;82;16000;1;2;2;100;7;450;35;mq;mq;100540;mq;mq;350;mq;mq;mq;mq;mq;mq;mq;7.100000;9.400000;-10;0;0.000000;0.000000;-30;0.000000;0.000000;0.000000;0.200000;5.500000;mq;mq;mq;mq;5;6;430;4;6;630;7;6;930;mq;mq;mq;
07168;20230425090000;101560;190;1;300;4.000000;282.750000;280.050000;83;18960;0;mq;mq;100;8;450;mq;mq;mq;100130;mq;mq;220;mq;mq;mq;mq;280.950000;mq;mq;5.600000;6.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.200000;5.500000;5.500000;mq;mq;mq;mq;6;mq;420;7;mq;1110;8;mq;1350;mq;mq;mq;
07181;20230425090000;101400;170;3;300;4.000000;282.050000;279.650000;85;19360;0;mq;mq;100;7;450;mq;mq;mq;97230;mq;mq;160;mq;mq;mq;mq;279.850000;mq;mq;6.700000;7.300000;-10;mq;mq;mq;mq;0.200000;0.200000;2.200000;6.400000;7.000000;mq;mq;mq;mq;1;mq;390;6;mq;870;7;mq;1140;mq;mq;mq;
07190;20230425090000;101390;200;3;230;2.900000;281.350000;279.650000;89;37700;61;mq;mq;100;8;800;mq;mq;mq;99560;mq;mq;200;mq;mq;mq;mq;281.150000;mq;mq;4.700000;4.700000;-10;2;0.000000;mq;mq;0.800000;4.200000;5.800000;5.800000;5.800000;mq;mq;mq;mq;5;mq;720;8;mq;990;mq;mq;mq;mq;mq;mq;
07207;20230425090000;101660;50;1;100;3.000000;284.450000;280.550000;77;25000;2;2;mq;100;8;800;32;mq;mq;101140;mq;mq;130;mq;mq;mq;mq;mq;mq;mq;7.800000;7.800000;-10;1;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;8;800;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07222;20230425090000;101680;70;1;100;1.300000;284.550000;280.050000;74;18470;0;mq;mq;mq;1;450;mq;mq;mq;101360;mq;mq;180;mq;mq;mq;mq;279.950000;mq;mq;3.500000;3.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.200000;0.200000;0.200000;mq;mq;mq;mq;1;mq;540;3;mq;4800;mq;mq;mq;mq;mq;mq;
07240;20230425090000;101660;100;3;340;2.700000;284.450000;279.950000;74;27770;0;mq;mq;mq;5;450;mq;mq;mq;100310;mq;mq;190;mq;mq;mq;mq;281.850000;mq;mq;5.100000;5.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;-0.100000;mq;mq;mq;mq;5;mq;450;5;mq;690;mq;mq;mq;mq;mq;mq;
07255;20230425090000;101660;110;2;310;2.500000;283.450000;278.050000;69;19330;0;mq;mq;mq;mq;mq;mq;mq;mq;99660;mq;mq;140;mq;mq;mq;mq;279.350000;mq;mq;4.500000;4.500000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07280;20230425090000;101500;150;1;310;4.100000;284.250000;278.550000;68;18680;0;mq;mq;75;4;800;mq;mq;mq;98870;mq;mq;50;mq;mq;mq;mq;282.550000;mq;mq;7.000000;8.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;-0.100000;0.600000;0.600000;mq;mq;mq;mq;3;mq;750;4;mq;900;6;mq;1620;mq;8;mq;
07299;20230425090000;101430;220;3;260;4.800000;282.750000;279.850000;82;44320;0;mq;mq;100;4;450;mq;mq;mq;98160;mq;mq;70;mq;mq;mq;mq;279.350000;mq;mq;8.200000;8.200000;-10;mq;0.000000;mq;mq;-0.100000;-0.100000;2.600000;3.000000;3.200000;mq;mq;mq;mq;1;mq;510;4;mq;960;6;mq;1860;mq;8;mq;
